Start,End,Open,High,Low,Close,Volume,Market Cap
2025-06-07,2025-06-08,104267,105943,104007,105603,42502836344.88502,2090884425894.62
2025-06-06,2025-06-07,101442,105206,101322,104302,71765837767.16028,2059799830505.5715
2025-06-05,2025-06-06,104763,105885,100465,101594,46550352400.69686,2066879437555.1567
2025-06-04,2025-06-05,105440,105953,104362,104731,45847119171.98258,2091567365418.2405
2025-06-03,2025-06-04,105782,106709,104900,105433,48502426329.77352,2100128462537.366
2025-06-02,2025-06-03,105628,105909,103770,105843,41036672276.68641,2082367304548.129
2025-06-01,2025-06-02,104537,105814,103795,105631,32056311613.91986,2078458788468.122
2025-05-31,2025-06-01,104041,104900,103195,104703,52475030430.44599,2068239089342.6443
2025-05-30,2025-05-31,105696,106275,103739,104015,66352202697.89547,2092326965847.4983
2025-05-29,2025-05-30,107620,108887,105485,105689,57796066879.5993,2135019741164.547
2025-05-28,2025-05-29,108870,109205,106923,107773,56853679003.72474,2151436024711.9512
2025-05-27,2025-05-28,109352,110662,107966,108957,60988928308.44948,2174662570692.1672
2025-05-26,2025-05-27,108935,110266,108806,109409,58086118230.10802,2176677665770.77
2025-05-25,2025-05-26,107943,109166,106700,108862,49701895673.57491,2138614664567.749
2025-05-24,2025-05-25,106905,109409,106905,107781,70585183306.71428,2155167747265.3
2025-05-23,2025-05-24,111525,111746,107020,107190,73702308030.5575,2183414885295.9543
2025-05-22,2025-05-23,109833,111924,109346,111666,110978858812.26132,2205136289657.6133
2025-05-21,2025-05-22,106905,109940,106104,109625,75066735086.2439,2134080105752.6968
2025-05-20,2025-05-21,105679,107252,104236,106669,65882025302.93031,2100420296993.836
2025-05-19,2025-05-20,106570,106850,102170,105600,97659528667.98956,2069179881195.3728
2025-05-18,2025-05-19,103206,106394,103140,106394,39944096121.11498,2068898867601.6377
2025-05-17,2025-05-18,103470,103670,102697,103181,43871702797.665504,2049397659223.2405
2025-05-16,2025-05-17,103822,104448,103143,103458,58092167346.91637,2062440077581.7207
2025-05-15,2025-05-16,103551,104095,101547,103715,50581733563.73868,2042516183007.7527
2025-05-14,2025-05-15,104015,104242,102769,103582,56588030391.69686,2057960732232.3867
